"USAF","WBAN","STATION NAME","CTRY","STATE","ICAO","LAT","LON","ELEV(M)","BEGIN","END"
"999999","00100","DEXTER B FLORENCE MEM FLD AP","US","AR","","+34.100","-093.066","+0055.5","20120902","20121124"
"999999","00178","LINDEN AIRPORT","US","NJ","KLDJ","+40.617","-074.250","+0007.0","20140731","20161231"
"999999","00262","MUSTANG ISLAND A85A","US","TX","","+27.733","-096.183","+0000.3","20140731","20200416"
"999999","00343","ST MARYS HOSPITAL","US","MN","","+44.017","-092.483","+0355.1","20140731","20240129"
"999999","00370","PINEY ISLAND","US","NC","","+35.020","-076.460","+0005.2","20140731","20240129"
"999999","00421","MADISONVILLE MUNICIPAL AIRPORT","US","KY","","+37.350","-087.400","+0124.4","20140731","20240130"
"999999","00423","DE QUINCY INDUSTRIAL AIRPARK","US","LA","","+30.441","-093.474","+0025.6","20140731","20240129"
"999999","00425","MIDDLEBURY STATE AIRPORT","US","VT","","+43.985","-073.095","+0149.1","20140731","20240129"
"999999","00440","CULLMAN REGIONAL AIRPORT FOLSOM FIELD","US","AL","","+34.269","-085.858","+0295.7","20140731","20240129"
"999999","00447","ATHENS MUNICIPAL AIRPORT","US","TX","","+32.164","-095.828","+0135.3","20140731","20231014"
"999999","00458","CLERMONT COUNTY AIRPORT","US","OH","","+39.078","-084.210","+0257.0","20140731","20240129"
"999999","00460","LOUISIANA REGIONAL AIRPORT","US","LA","","+30.173","-090.941","+0004.6","20140731","20170303"
"999999","00472","KRYGYZSTAN US MIL BISHKEK MANAS","AF","","KQHT","+43.067","+074.467","+0637.0","20200908","20200927"
"999999","00477","ROGER M DREYER MEMORIAL AIRPORT","US","TX","","+29.529","-097.464","+0108.2","20140731","20240129"
"999999","00480","EAGLE RANGE WSO","US","UT","","+41.050","-113.060","+1292.1","20140731","20220701"
"999999","00481","GRANITE PEAK FILLMORE ARPT","US","UT","","+38.958","-112.363","+1519.4","20140730","20240128"
"999999","00483","NEW ORLEANS SUPERDOME HELIPORT","US","LA","","+29.953","-090.083","+0009.1","20140731","20150128"
